source_study,source_path,audited_files,hashed_files,exact_hash_matches,exact_match_pct,code_files,code_exact_matches,output_files,output_exact_matches,dominant_target_locations,unmatched_examples
FYP/outputs/busto_lsoa_cluster_gmm,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_cluster_gmm,6,6,0,0.0,0,0,6,0,,weekday\weekday_k5_labels.csv; weekday\weekday_profiles.png; weekday\X_weekday.parquet; weekend\weekend_k6_labels.csv; weekend\weekend_profiles.png; weekend\X_weekend.parquet
FYP/outputs/busto_lsoa_FINAL_gmm_hourly,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_FINAL_gmm_hourly,38,38,0,0.0,0,0,38,0,,weekday\weekday_k4_labels.csv; weekday\weekday_k5_labels.csv; weekday\weekday_kdiag.png; weekday\weekday_kdiag_full.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_profiles.png; weekday\X_weekday.parquet; weekday\candidates\weekday_k3_labels.csv
FYP/outputs/busto_lsoa_hourly_kmeans,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_lsoa_hourly_kmeans,8,8,0,0.0,0,0,8,0,,weekday\weekday_k5_labels.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_profiles.png; weekday\X_weekday.parquet; weekend\weekend_k5_labels.csv; weekend\weekend_k_diagnostics.png; weekend\weekend_profiles.png; weekend\X_weekend.parquet
FYP/outputs/busto_validation,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\busto_validation,15,15,0,0.0,0,0,13,0,,boardings_alightings_quality.csv; boardings_alightings_quality_all.csv; day_type_anomalies.csv; duplicate_input_files.csv; duplicate_routes_across_files.csv; evening_conservation.csv; qhr_anomalies.csv; run_log.txt
FYP/outputs/lu_rail_2000_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_rail_2000_diag,10,10,0,0.0,0,0,10,0,,weekday\weekday_cluster_map.png; weekday\weekday_k5_labels.csv; weekday\weekday_k5_labels_xy.csv; weekday\weekday_kdiag.png; weekday\weekday_profiles.png; weekend\weekend_cluster_map.png; weekend\weekend_k6_labels.csv; weekend\weekend_k6_labels_xy.csv
FYP/outputs/lu_rail_2000_featv2,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_rail_2000_featv2,39,39,0,0.0,0,0,39,0,,weekday_AF_scatter.png; weekday_diag_v2.csv; weekday_featv2.csv; weekday_kdiag_v2.csv; weekday_kdiag_v2.png; weekend_AF_scatter.png; weekend_diag_v2.csv; weekend_featv2.csv
FYP/outputs/lu_rail_2000_featv2_FS,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_rail_2000_featv2_FS,32,32,0,0.0,0,0,32,0,,weekday_featv2.csv; weekday_kdiag_v2.csv; weekday_kdiag_v2.png; weekend_featv2.csv; weekend_kdiag_v2.csv; weekend_kdiag_v2.png; candidates\weekday_candidate_summary.csv; candidates\weekday_k3_labels.csv
FYP/outputs/lu_rail_FINAL_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_rail_FINAL_diag,50,50,0,0.0,0,0,50,0,,weekday\weekday_FINAL_asymmetry.png; weekday\weekday_FINAL_k7_asymmetry.csv; weekday\weekday_FINAL_k7_cluster_summary.csv; weekday\weekday_FINAL_k7_labels.csv; weekday\weekday_FINAL_k7_profiles.csv; weekday\weekday_FINAL_k7_representative.csv; weekday\weekday_FINAL_pca.png; weekday\weekday_FINAL_profiles.png
FYP/outputs/lu_weekday_weekend_15min_aggregated_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_15min_aggregated_diag,14,14,0,0.0,0,0,14,0,,weekday\weekday_gmm_k9_labels.csv; weekday\weekday_gmm_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_meta.csv; weekday\weekday_profiles.png; weekday\weekday_representative.csv; weekday\X_weekday_aggregated.parquet; weekend\weekend_gmm_k7_labels.csv
FYP/outputs/lu_weekday_weekend_15min_clara_bic_selection,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_15min_clara_bic_selection,4,4,0,0.0,0,0,4,0,,weekday\weekday_bic_model_selection.png; weekday\weekday_covariance_model_selection.csv; weekend\weekend_bic_model_selection.png; weekend\weekend_covariance_model_selection.csv
FYP/outputs/lu_weekday_weekend_15min_per_vector,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_15min_per_vector,22,22,0,0.0,0,0,22,0,,weekday\weekday_analysis_long.parquet; weekday\weekday_dropped_low_volume.csv; weekday\weekday_gmm_k4_cluster_summary.csv; weekday\weekday_gmm_k4_labels.csv; weekday\weekday_gmm_k_diagnostics.csv; weekday\weekday_kmeans_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_k_recommendation.json
FYP/outputs/lu_weekday_weekend_15min_per_vector_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_15min_per_vector_diag,32,32,0,0.0,0,0,32,0,,weekday\weekday_dropped_low_volume.csv; weekday\weekday_gmm_k7_cluster_summary.csv; weekday\weekday_gmm_k7_labels.csv; weekday\weekday_gmm_k_diagnostics.csv; weekday\weekday_kmeans_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_k_recommendation.json; weekday\weekday_meta.csv
FYP/outputs/lu_weekday_weekend_30min_per_vector_diag,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_30min_per_vector_diag,12,12,0,0.0,0,0,12,0,,weekday\weekday_gmm_k14_labels.csv; weekday\weekday_gmm_k_diagnostics.csv; weekday\weekday_kmeans_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_meta.csv; weekday\X_weekday_30min_per_vector.parquet; weekend\weekend_gmm_k5_labels.csv; weekend\weekend_gmm_k_diagnostics.csv
FYP/outputs/lu_weekday_weekend_30min_per_vector_full,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\lu_weekday_weekend_30min_per_vector_full,12,12,0,0.0,0,0,12,0,,weekday\weekday_gmm_k5_labels.csv; weekday\weekday_gmm_k_diagnostics.csv; weekday\weekday_kmeans_k_diagnostics.csv; weekday\weekday_k_diagnostics.png; weekday\weekday_meta.csv; weekday\X_weekday_30min_per_vector.parquet; weekend\weekend_gmm_k8_labels.csv; weekend\weekend_gmm_k_diagnostics.csv
FYP/outputs/preprocessed_busto,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\preprocessed_busto,11,11,0,0.0,0,0,11,0,,busto_file_audit.csv; busto_hourly_audit.csv; busto_lsoa_meta.csv; busto_lsoa_qhr_night.parquet; busto_preprocess_audit.json; busto_route_block.csv; busto_schema_audit.csv; busto_stop_block.csv
FYP/outputs/preprocessed_busto_1805_min33,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\preprocessed_busto_1805_min33,8,8,0,0.0,0,0,8,0,,busto_file_audit.csv; busto_hourly_audit.csv; busto_preprocess_audit.json; busto_route_block.csv; busto_schema_audit.csv; busto_stop_block.csv; busto_stop_meta.csv; busto_stop_qhr_night.parquet
FYP/outputs/preprocessed_busto_TEST,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\preprocessed_busto_TEST,8,8,0,0.0,0,0,8,0,,busto_file_audit.csv; busto_hourly_audit.csv; busto_preprocess_audit.json; busto_route_block.csv; busto_schema_audit.csv; busto_stop_block.csv; busto_stop_meta.csv; busto_stop_qhr_night.parquet
FYP/outputs/preprocessed_busto_TEST_06cutoff,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\preprocessed_busto_TEST_06cutoff,8,8,0,0.0,0,0,8,0,,busto_file_audit.csv; busto_hourly_audit.csv; busto_preprocess_audit.json; busto_route_block.csv; busto_schema_audit.csv; busto_stop_block.csv; busto_stop_meta.csv; busto_stop_qhr_night.parquet
FYP/outputs/preprocessed_numbat,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\preprocessed_numbat,4,4,0,0.0,0,0,4,0,,numbat_lu_multiday_audit.csv; numbat_lu_multiday_audit.json; numbat_lu_station_meta.csv; numbat_lu_station_qhr_all_daytypes.parquet
FYP/outputs/rq1_trial_numbat,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\rq1_trial_numbat,8,8,0,0.0,0,0,8,0,,rail_TWT_gmm_k3_labels_trial.csv; rail_TWT_gmm_k_diagnostics.csv; rail_TWT_kmeans_k_diagnostics.csv; rail_TWT_k_recommendation.json; rail_TWT_low_volume_dropped.csv; rail_TWT_meta_trial.csv; rail_TWT_trial_sidecar.json; X_rail_TWT_trial.parquet
FYP/outputs/rq1_trial_numbat_lu_only,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\rq1_trial_numbat_lu_only,31,31,0,0.0,0,0,30,0,,rail_LU_TWT_gmm_k3_labels_trial.csv; rail_LU_TWT_gmm_k_diagnostics.csv; rail_LU_TWT_kmeans_k_diagnostics.csv; rail_LU_TWT_k_recommendation.json; rail_LU_TWT_low_volume_dropped.csv; rail_LU_TWT_meta_trial.csv; rail_LU_TWT_trial_sidecar.json; X_rail_LU_TWT_trial.parquet
FYP/outputs/rq1_trial_numbat_lu_only_per_vector,D:\SDS2025_workspace\CASA_FYP\FYP\outputs\rq1_trial_numbat_lu_only_per_vector,25,25,0,0.0,0,0,25,0,,rail_LU_TWT_gmm_k15_labels_trial.csv; rail_LU_TWT_gmm_k_diagnostics.csv; rail_LU_TWT_kmeans_k_diagnostics.csv; rail_LU_TWT_k_recommendation.json; rail_LU_TWT_low_volume_dropped.csv; rail_LU_TWT_meta_trial.csv; rail_LU_TWT_trial_sidecar.json; X_rail_LU_TWT_trial.parquet
workspace/scripts,D:\SDS2025_workspace\CASA_FYP\scripts,24,24,0,0.0,24,0,0,0,,audit_discussion_summary_doc.py; audit_reference_discussions.py; audit_v6_discussion.py; audit_v6_structure.py; count_cluster_codes_v6.py; count_v6_thesis_words.py; extract_docx_review_text.py; extract_pdf_pages.py
